"","MSOA11CD","LSOA11CD","OA11CD","LSOA11NM","MSOA11NM","LAD11CD","LAD11NM","LAD11NMW","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUK.msoa","Country of Birth: All categories: Country of birth.msoa","nonUKZoneProp.lsoa","nonUKZoneProp.msoa"
"202","E02001586","E01007732","E00039156","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",8,3.75586854460094,213,36,1415,232,8129,2.54416961130742,2.85397957928404
"203","E02001586","E01007732","E00039175","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",5,2.33644859813084,214,36,1415,232,8129,2.54416961130742,2.85397957928404
"204","E02001586","E01007731","E00039146","Rotherham 009D","Rotherham 009","E08000018","Rotherham","",10,2.48756218905473,402,16,1238,232,8129,1.2924071082391,2.85397957928404
"205","E02001586","E01007732","E00039167","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",5,2.89017341040462,173,36,1415,232,8129,2.54416961130742,2.85397957928404
"206","E02001586","E01007732","E00039147","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",7,2.33333333333333,300,36,1415,232,8129,2.54416961130742,2.85397957928404
"207","E02001586","E01007731","E00039172","Rotherham 009D","Rotherham 009","E08000018","Rotherham","",2,0.840336134453782,238,16,1238,232,8129,1.2924071082391,2.85397957928404
"208","E02001586","E01007733","E00039173","Rotherham 009F","Rotherham 009","E08000018","Rotherham","",8,3.6036036036036,222,38,1323,232,8129,2.87226001511716,2.85397957928404
"209","E02001586","E01007733","E00039161","Rotherham 009F","Rotherham 009","E08000018","Rotherham","",11,4.34782608695652,253,38,1323,232,8129,2.87226001511716,2.85397957928404
"210","E02001586","E01007733","E00039158","Rotherham 009F","Rotherham 009","E08000018","Rotherham","",5,1.64473684210526,304,38,1323,232,8129,2.87226001511716,2.85397957928404
"211","E02001586","E01007732","E00039159","Rotherham 009E","Rotherham 009","E08000018","Rotherham","",6,3.125,192,36,1415,232,8129,2.54416961130742,2.85397957928404
"212","E02001586","E01007731","E00039150","Rotherham 009D","Rotherham 009","E08000018","Rotherham","",2,0.625,320,16,1238,232,8129,1.2924071082391,2.85397957928404
"213","E02001586","E01007730","E00039168","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",16,5.26315789473684,304,47,1417,232,8129,3.31686661961891,2.85397957928404
"214","E02001586","E01007729","E00039149","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",9,3.46153846153846,260,79,1620,232,8129,4.87654320987654,2.85397957928404
"215","E02001586","E01007728","E00039160","Rotherham 009A","Rotherham 009","E08000018","Rotherham","",2,0.829875518672199,241,16,1116,232,8129,1.4336917562724,2.85397957928404
"216","E02001586","E01007729","E00039145","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",24,5.17241379310345,464,79,1620,232,8129,4.87654320987654,2.85397957928404
"217","E02001586","E01007731","E00039174","Rotherham 009D","Rotherham 009","E08000018","Rotherham","",2,0.719424460431655,278,16,1238,232,8129,1.2924071082391,2.85397957928404
"218","E02001586","E01007730","E00039163","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",6,2.14285714285714,280,47,1417,232,8129,3.31686661961891,2.85397957928404
"219","E02001586","E01007729","E00039148","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",20,9.70873786407767,206,79,1620,232,8129,4.87654320987654,2.85397957928404
"220","E02001586","E01007729","E00039152","Rotherham 009B","Rotherham 009","E08000018","Rotherham","",11,5,220,79,1620,232,8129,4.87654320987654,2.85397957928404
"221","E02001586","E01007728","E00039166","Rotherham 009A","Rotherham 009","E08000018","Rotherham","",2,0.694444444444444,288,16,1116,232,8129,1.4336917562724,2.85397957928404
"222","E02001586","E01007730","E00039165","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",5,2.19298245614035,228,47,1417,232,8129,3.31686661961891,2.85397957928404
"223","E02001586","E01007730","E00039164","Rotherham 009C","Rotherham 009","E08000018","Rotherham","",12,7.79220779220779,154,47,1417,232,8129,3.31686661961891,2.85397957928404
"224","E02001586","E01007728","E00039171","Rotherham 009A","Rotherham 009","E08000018","Rotherham","",3,1.14942528735632,261,16,1116,232,8129,1.4336917562724,2.85397957928404
