"","LSOA11CD","OA11CD","LSOA11NM","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUKZoneProp.lsoa"
"103","E01007677","E00038882","Rotherham 017A",25,7.83699059561129,319,196,1467,13.3605998636673
"104","E01007677","E00038908","Rotherham 017A",34,14.7186147186147,231,196,1467,13.3605998636673
"105","E01007677","E00038906","Rotherham 017A",62,19.6825396825397,315,196,1467,13.3605998636673
"106","E01007677","E00038907","Rotherham 017A",14,5.05415162454874,277,196,1467,13.3605998636673
"107","E01007677","E00038902","Rotherham 017A",61,18.7692307692308,325,196,1467,13.3605998636673
"108","E01007678","E00038894","Rotherham 023B",55,15.2777777777778,360,315,1597,19.724483406387
"109","E01007678","E00038892","Rotherham 023B",132,43.2786885245902,305,315,1597,19.724483406387
"110","E01007678","E00038898","Rotherham 023B",46,14.5110410094637,317,315,1597,19.724483406387
"111","E01007678","E00038899","Rotherham 023B",39,13.1756756756757,296,315,1597,19.724483406387
"112","E01007678","E00038878","Rotherham 023B",43,13.4796238244514,319,315,1597,19.724483406387
"113","E01007679","E00038890","Rotherham 023C",65,16.6666666666667,390,320,1854,17.259978425027
"114","E01007679","E00038888","Rotherham 023C",61,21.8637992831541,279,320,1854,17.259978425027
"115","E01007679","E00038881","Rotherham 023C",53,15.014164305949,353,320,1854,17.259978425027
"116","E01007679","E00038883","Rotherham 023C",31,10,310,320,1854,17.259978425027
"117","E01007679","E00038891","Rotherham 023C",69,23.3108108108108,296,320,1854,17.259978425027
"118","E01007679","E00038889","Rotherham 023C",41,18.141592920354,226,320,1854,17.259978425027
"119","E01007680","E00038901","Rotherham 023D",104,25.5528255528256,407,587,1882,31.1902231668438
"120","E01007680","E00038900","Rotherham 023D",90,29.9003322259136,301,587,1882,31.1902231668438
"121","E01007680","E00038904","Rotherham 023D",150,36.4963503649635,411,587,1882,31.1902231668438
"122","E01007680","E00038903","Rotherham 023D",216,40.2234636871508,537,587,1882,31.1902231668438
"123","E01007680","E00038886","Rotherham 023D",27,11.9469026548673,226,587,1882,31.1902231668438
"124","E01007681","E00038931","Rotherham 012A",7,3.19634703196347,219,26,1331,1.9534184823441
"125","E01007681","E00038926","Rotherham 012A",5,2,250,26,1331,1.9534184823441
"126","E01007681","E00038928","Rotherham 012A",4,1.6597510373444,241,26,1331,1.9534184823441
"127","E01007681","E00038930","Rotherham 012A",3,1.30434782608696,230,26,1331,1.9534184823441
"128","E01007681","E00038925","Rotherham 012A",7,1.79028132992327,391,26,1331,1.9534184823441
"129","E01007682","E00038934","Rotherham 019A",3,1.16279069767442,258,25,1440,1.73611111111111
"130","E01007682","E00038932","Rotherham 019A",4,1.49812734082397,267,25,1440,1.73611111111111
"131","E01007682","E00038959","Rotherham 019A",7,2.24358974358974,312,25,1440,1.73611111111111
"132","E01007682","E00038958","Rotherham 019A",6,1.9672131147541,305,25,1440,1.73611111111111
"133","E01007682","E00038957","Rotherham 019A",5,1.67785234899329,298,25,1440,1.73611111111111
"134","E01007683","E00038910","Rotherham 019B",9,2.87539936102236,313,34,1433,2.37264480111654
